Adressat normalisiert;Adressat kategorisiert
Anbieter, Veranstalter oder Betreiber;Betreiber
Arbeitgeber;Arbeitgeber
"Arbeitgeber bzw. Verantwortlicher der Einrichtung oder des Unternehmens (i. d. R. Leiter/Betriebsinhaber; bei jur. Personen: Geschäftsführung, o. Ä.)";Arbeitgeber
Beförderer;Beförderer
Beförderer (Person, welche der Übermittlungspflicht nicht nachkommt);Beförderer
Beförderer (Person, welche die Beförderung durchführt);Beförderer
Beförderer (Person, welche die erforderliche Kontrolle nicht durchführt);Beförderer
Beförderer (Person, welche nicht sicherstellt, dass die erforderlichen Informationen nicht zur Verfügung stehen);Beförderer
Betreiber;Betreiber
Betreiber der Fahrschule;Betreiber
Betreiber der Kulturstätte;Betreiber
Betreiber der Praxis;Betreiber
Dienstherr oder Arbeitgeber;Arbeitgeber
Dienstherr, Arbeitgeber oder Auftraggeber;Arbeitgeber
Ein- bzw. Rückreisender;Reisender
Erziehungsberechtigter der betroffenen Schüler;Erziehungsberechtigter
Person ab 14 Jahren (§ 12 OWiG), welche eine genannte Einrichtung betritt, ohne dass eine Ausnahme besteht;Handelnde Person
Person ab 14 Jahren (§ 12 OWiG);Person ab 14
Person, die die jeweilige Einrichtung nutzt;Handelnde Person
Person, die innerhalb von 14 Tagen nach Aufenthalt in einem Risikogebiet eine Hochschule betritt;Reisender
Person, welche die Entscheidung über das Abhalten von Unterricht, Veranstaltungen, den Studienbetrieb oder das Betreuungsangebot trifft;Entscheidende Person
"Person, welche die Entscheidung über den Betrieb, die Zulassung von Zuschauern oder die Durchführung von praktischer Sportausbildung trifft (i. d. R. Betriebsinhaber; bei jur. Personen: Geschäftsführung, o. Ä.)";Entscheidende Person
Person, welche die Entscheidung über die Aufnahme des regulären Betreuungsangebots trifft;Entscheidende Person
"Person, welche die Entscheidung über die Durchführung des Fahrschulunterrichts/der Prüfung trifft (i.d.R. Betriebsinhaber; bei jur. Personen: Geschäftsführung, o.Ä.)";Entscheidende Person
"Person, welche die Entscheidung über die Durchführung einer Reisebusreise trifft (i.d.R. Betriebsinhaber; bei jur. Personen: Geschäftsführung, o.Ä.)";Entscheidende Person
Person, welche die Entscheidung über die Durchführung eines Volksfestes oder einer öffentlichen Festivität trifft;Entscheidende Person
Person, welche die Entscheidung über die Durchführung eines Volksfestes trifft.;Entscheidende Person
"Person, welche die Entscheidung über die Öffnung des Betriebes oder der Durchführung einer Reisebusreise trifft (i.d.R. Betriebsinhaber; bei jur. Personen: Geschäftsführung, o. Ä.)";Entscheidende Person
"Person, welche die Entscheidung über die Öffnung des Betriebes oder die Zulassung von Zuschauern trifft (i.d.R. Betriebsinhaber; bei jur. Personen: Geschäftsführung, o. Ä.)";Entscheidende Person
"Person, welche die Entscheidung über die Öffnung des Betriebes trifft (i. d. R. Betriebsinhaber; bei jur. Personen: Geschäftsführung, o. Ä.)";Entscheidende Person
"Person, welche die Entscheidung über die Öffnung des Betriebes trifft (i.d.R. Betriebsinhaber, Wirt; bei jur. Personen: Geschäftsführung, o. Ä.)";Entscheidende Person
"Person, welche die Entscheidung über die Öffnung des Betriebes oder der Durchführung einer Reisebusreise trifft (i.d.R. Betriebsinhaber; bei jur. Personen: Geschäftsführung, o.Ä.)";Entscheidende Person
Person, welche die Wohnung ohne triftigen Grund verlässt;Handelnde Person
Person, welche eine genannte Einrichtung betritt;Handelnde Person
Person, welche eine genannte Einrichtung betritt, ohne dass eine Ausnahme besteht;Handelnde Person
Personen ab 14 Jahren (§ 12 OWiG), die die Einrichtung nutzen.;Handelnde Person
Personen, die gegen das allgemeine Abstandsgebot verstoßen, ohne dass eine Ausnahme besteht;Handelnde Person
Personensorgeberechtigte;Personensorgeberechtigte
Schüler, Kinder und Studierende, ab 14 Jahren (§ 12 OWiG) und/oder deren Personensorgeberechtigte;Schüler
Schüler, Kinder und Studierende, soweit strafmündig und/oder deren Personensorgeberechtigte;Schüler
Teilnehmer einer Veranstaltung oder Versammlung;Teilnehmer
Teilnehmer einer Versammlung;Teilnehmer
"Veranstalter des Marktes (i. d. R. der Betriebsinhaber; bei jur. Personen: Geschäftsführung, o. Ä.)";Veranstalter
Veranstalter oder Leiter einer Messe;Veranstalter
Veranstalter oder Leiter einer Tagung oder eines Kongresses;Veranstalter
Veranstalter oder Leiter einer Tagung, eines Kongresses oder einer Messe;Veranstalter
Veranstalter oder Leiter einer Tagung, eines Kongresses, einer Ausstellung oder einer Messe;Veranstalter
Veranstalter oder Leiter einer Tagung, eines Kongresses, einer Messe oder einer vergleichbaren Veranstaltung;Veranstalter
Veranstalter oder Leiter einer Tagung, oder eines Kongresses, einer Ausstellung oder einer Messe;Veranstalter
Veranstalter oder Leiter einer Veranstaltung;Veranstalter
Veranstalter oder Leiter einer Veranstaltung oder Versammlung;Veranstalter
Veranstalter oder Leiter einer Versammlung;Veranstalter
Verantwortlicher der Einrichtung;Verantwortlicher
"Verantwortlicher der Einrichtung (i. d. R. Betriebsinhaber; bei jur. Personen: Geschäftsführung, o. Ä.)";Verantwortlicher
"Verantwortlicher der Einrichtung (i. d. R. Leiter/Betriebsinhaber; bei jur. Personen: Geschäftsführung, o. Ä.)";Verantwortlicher
Verantwortlicher der Einrichtung, Person, welche die Entscheidung über die Durchführung des Fahrschulunterrichts/der Prüfung trifft;Verantwortlicher
Verantwortlicher der Einrichtung (i. d. R. Leiter/Betreiber der Einrichtung);Verantwortlicher
"Verantwortlicher der Praxis (i. d. R. Betriebsinhaber; bei jur. Personen: Geschäftsführung, o. Ä.)";Verantwortlicher
"Verantwortlicher der Prüfung (i. d. R. Leiter/ Betriebsinhaber; bei jur. Personen: Geschäftsführung, o. Ä.)";Verantwortlicher
Verantwortlicher der Prüfung (i. d. R. Leiter/Betreiber der Einrichtung);Verantwortlicher
Verantwortlicher der Schule (i. d. R. Schulleiter);Verantwortlicher
Verantwortlicher der Verkaufsstelle (i. d. R. der Betriebsinhaber);Verantwortlicher
"Verantwortlicher der Verkaufsstelle (i. d. R. der Betriebsinhaber; bei jur. Personen: Geschäftsführung, o.Ä.)";Verantwortlicher
