ID;DokID;Blatt;Datum;Lfd. Nr.;Adressat ;Referenz BayMBl.;Norm;Verstoß;Adressat des Bußgeldbescheids;Regelsatz in €
4391715901;43917159;159;43917;1;Entscheidende Person;Veröffentlichung BayMBl. 2020 Nr. 159 vom 27.03.2020;§ 1 Abs. 2 Satz 1 VO;Öffnung eines Gastronomiebetriebes bzw. Abgabe von Speisen und Getränken, soweit keine Abgabe von mitnahmefähigen Speisen;"Person, welche die Entscheidung über die Öffnung des Betriebes trifft (i.d.R. Betriebsinhaber, Wirt; bei jur. Personen: Geschäftsführung, o. Ä.)";5000
4391715902;43917159;159;43917;2;Betreiber;Veröffentlichung BayMBl. 2020 Nr. 159 vom 27.03.2020;Nr. 3 AV v. 16.03.2020 „Betriebsstätten“;Nichteinhalten des vorgeschriebenen Mindestabstands zwischen den Gästen in Gastronomiebetrieben beim Abholen der Speisen;Betreiber;500
4391715903;43917159;159;43917;3;Handelnde Person;Veröffentlichung BayMBl. 2020 Nr. 159 vom 27.03.2020;§ 1 Abs. 1 VO;Nichteinhalten des vorgeschriebenen Mindestabstands;Personen, die gegen das allgemeine Abstandsgebot verstoßen, ohne dass eine Ausnahme besteht;150
4391715904;43917159;159;43917;4;Betreiber;Veröffentlichung BayMBl. 2020 Nr. 159 vom 27.03.2020;Nr. 3 AV v. 16.03.2020 „Betriebsstätten“;Nichteinhalten der zulässigen Personenzahl (max. 30) beim Abholen der Speisen;Betreiber;500
4391715905;43917159;159;43917;5;Handelnde Person;Veröffentlichung BayMBl. 2020 Nr. 159 vom 27.03.2020;§ 1 Abs. 3 Buchst. a VO;Besuch von Krankenhäusern sowie Vorsorge- und Rehabilitationseinrichtungen, in denen eine den Krankenhäusern vergleichbare medizinische Versorgung erfolgt, ausgenommen hiervon sind Geburts- und Kinderstationen für engste Angehörige und Palliativstationen und Hospize;Person, welche eine genannte Einrichtung betritt, ohne dass eine Ausnahme besteht;500
4391715906;43917159;159;43917;6;Handelnde Person;Veröffentlichung BayMBl. 2020 Nr. 159 vom 27.03.2020;§ 1 Abs. 3 Buchst. b VO;Besuch von vollstationären Einrichtungen der Pflege;Person, welche eine genannte Einrichtung betritt;500
4391715907;43917159;159;43917;7;Handelnde Person;Veröffentlichung BayMBl. 2020 Nr. 159 vom 27.03.2020;§ 1 Abs. 3 Buchst. c VO;Besuch von Einrichtungen für Menschen mit Behinderungen;Person, welche eine genannte Einrichtung betritt;500
4391715908;43917159;159;43917;8;Handelnde Person;Veröffentlichung BayMBl. 2020 Nr. 159 vom 27.03.2020;§ 1 Abs. 3 Buchst. d VO;Besuch von ambulant betreuten Wohngemeinschaften nach Art. 2 Abs. 3 Pflegewohnqualitätsgesetz (PfleWoqG);Person, welche eine genannte Einrichtung betritt;500
4391715909;43917159;159;43917;9;Handelnde Person;Veröffentlichung BayMBl. 2020 Nr. 159 vom 27.03.2020;§ 1 Abs. 3 Buchst. e VO;Besuch von Altenheimen und Seniorenresidenzen;Person, welche eine genannte Einrichtung betritt;500
4391715910;43917159;159;43917;10;Handelnde Person;Veröffentlichung BayMBl. 2020 Nr. 159 vom 27.03.2020;§ 1 Abs. 4 VO;Verlassen der eigenen Wohnung ohne Vorliegen triftiger Gründe;Person, welche die Wohnung ohne triftigen Grund verlässt;150
4391715911;43917159;159;43917;11;Betreiber;Veröffentlichung BayMBl. 2020 Nr. 159 vom 27.03.2020;Nr. 2 AV v. 16.03.2020 „Betriebsstätten“;Betrieb v. Einrichtungen, die nicht notw. Verrichtungen des täglichen Lebens dienen;Betreiber;5000
4391715912;43917159;159;43917;12;Betreiber;Veröffentlichung BayMBl. 2020 Nr. 159 vom 27.03.2020;Nr. 5 AV v. 16.03.2020 „Betriebsstätten“;Öffnung von Ladengeschäften des Einzelhandels für Kunden (ausgenommen solche des täglichen Bedarfs – vgl. VO);Betreiber;5000
4391715913;43917159;159;43917;13;Betreiber;Veröffentlichung BayMBl. 2020 Nr. 159 vom 27.03.2020;Nr. 5 AV v. 16.03.2020 „Betriebsstätten“;Nichteinhalten des vorgeschriebenen Mindestabstands in Dienstleistungsbetrieben;Betreiber;500
4391715914;43917159;159;43917;14;Betreiber;Veröffentlichung BayMBl. 2020 Nr. 159 vom 27.03.2020;Nr. 5 AV v. 16.03.2020 „Betriebsstätten“;Nichteinhalten der vorgeschriebenen Aufenthaltsbeschränkung im Wartebereich (max. 10 Personen);Betreiber;1000
4391715915;43917159;159;43917;15;Betreiber;Veröffentlichung BayMBl. 2020 Nr. 159 vom 27.03.2020;Nr. 1.1 bis 1.3 AV v. 13.03.2020 „Schulen“;Abhalten von Unterricht, Veranstaltungen, Studienbetrieb oder Betreuungsangebote nach den Nrn. 1.1 bis 1.3 AV vom 13.03.2020 „Schulen“, ausgenommen die in den Nrn. 2 und 3 genannten Einrichtungen und die Notbetreuung nach den Nrn. 4 und 5;Betreiber;2500
